Year,Month,Region,Org Code,Org Name,A0,A1,A2,A3,A4,A114,A5,A6,A111,A112,A113,A7,A8,A9,A10,A11,A12,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A17,A18,A19,A20,A21,A22,A23,A53,A54,A55,A56,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A74,A82,A83,A84,A78,A94,A95,A96,A115,A116,A117,A118,A75,A85,A86,A87,A79,A97,A98,A99,A119,A120,A121,A122,A76,A88,A89,A90,A80,A100,A101,A102,A77,A91,A92,A93,A81,A103,A104,A105,A49,A50,A51,A52,A13,A14,A15,A16,A106,A107,A108,A109,A110,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73
2017,9,North East and Yorkshire,Y63,North East and Yorkshire,89236,64544,323431,5,1,.,23,78,.,.,.,63236,8506,6610,30731,13351,1171,3694526,434,808,3938472,596,1167,39300428,1279,2689,37892388,2838,6560,5779201,4935,11704,4281,1544,119,3421,2596,22,1806,38795,6097,14063,58955,18710,15000,14314,11743,50463,38339,26112,16214,2405,1365,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3884,117510,30,52,.,.,.,.,.,91,2229,753,78,2045,17440550,7824,18915,4893654,6499,14236,432947,5551,12132,22105770,10810,25555
2017,9,North West,Y62,North West,125385,96984,5508018,57,2,.,175,263,.,.,.,.,7521,5362,47669,21630,2926,4434136,590,981,4900340,914,1664,71741773,1505,3373,66320301,3066,7101,15622188,5339,9714,.,.,.,.,.,.,.,59014,6720,21544,87278,15096,13038,10673,9435,65770,56721,31707,25038,4109,3224,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1628,93483,57,143,.,.,.,.,.,258,3242,1432,125,1045,16113705,4970,10406,7697687,5375,11020,749965,6000,12021,6259876,5990,13532
2017,9,Midlands,Y60,Midlands,165170,128296,444624,3,2,.,19,60,.,.,.,124303,9506,6296,59072,39779,1979,4303301,453,797,5217148,829,1796,70319089,1190,2415,113522600,2854,6706,7002002,3538,9093,8424,423,2412,112,426,5163,1359,74372,3169,38338,115879,17371,13670,11581,9290,76339,64992,62743,42304,4140,2106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3810,213928,56,74,.,.,.,.,.,198,626,1732,4,2983,4131250,6599,12191,11911657,6877,14036,26457,6614,15747,35602826,11935,23056
2017,9,East of England,Y61,East of England,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,London,Y56,London,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,South East,Y59,South East,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,South West,Y58,South West,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,81116,67448,246301,4,2,.,21,73,.,.,.,58641,4466,2964,31592,13042,238,2202808,493,885,3529328,1191,2794,49993361,1582,3346,59183269,4538,10927,1233406,5182,16055,6149,423,2400,112,226,3100,108,36587,736,15169,52492,8349,6835,5725,4765,40796,35675,17600,13988,338,261,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,625,609,4,1916,4131055,6610,12210,5190759,8523,14346,26457,6614,15747,26652343,13910,24771
2017,9,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y59,R1F,ISLE OF WIGHT NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
